Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
"JP29a–e","False","True","36483","Asian Art","Print","","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1804","1794","1814","Pentaptych of polychrome woodblock prints; ink and color on paper","Oban, pentaptych: 14 15/32 x 48 1/2 in. (36.8 x 123.2 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36483","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2","False","True","36484","Asian Art","Woodblock print","諸國瀧廻リ　相州大山ろうべんの瀧|Rōben Waterfall at Ōyama in Sagami Province (Sōshū Ōyama Rōben no taki), from the series A Tour of Waterfalls in Various Provinces (Shokoku taki meguri)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1827","1817","1837","Polychrome woodblock print; ink and color on paper","14 3/4 x 10 1/4 in. (37.5 x 26 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36484","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP3","False","True","36485","Asian Art","Woodblock print","百人一首　うはかゑとき　持統天皇|Poem by Jitō Tenno (Empress Jitō), from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1839","1839","1839","Polychrome woodblock print; ink and color on paper","10 1/8 x 14 3/4 in. (25.7 x 37.5 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36485","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP4","False","True","36486","Asian Art","Woodblock print","百人一首　乳母かゑとき　柿本人麿|Poem by Kakinomoto Hitomaro, from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1839","1839","1839","Polychrome woodblock print; ink and color on paper","9 7/8 x 14 in. (25.1 x 35.6 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36486","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP5","False","True","36487","Asian Art","Woodblock print","百人一首　うはかゑとき　菅家|Poem by Kanke (Sugawara Michizane), from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1839","1829","1849","Polychrome woodblock print; ink and color on paper","10 x 14 3/5 in. (25.4 x 37.1 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36487","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP7","False","True","36488","Asian Art","Woodblock print","百人一首　姥か恵と起　大中臣能宣朝臣|Poem by Ōnakatomi no Yoshinobu Ason, from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1839","1839","1839","Polychrome woodblock print; ink and color on paper","10 x 14 1/8 in. (25.4 x 35.9 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36488","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP8","False","True","36489","Asian Art","Print","諸國名橋奇覧　すほうの国きんたいはし|Kintai Bridge in Suō Province (Suō no kuni Kintaibashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1827–30","1827","1830","Polychrome woodblock print; ink and color on paper","10 7/32 x 15 7/32 in. (26.0 x 38.7 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36489","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP9","False","True","36490","Asian Art","Woodblock print","「富嶽三十六景　凱風快晴」|South Wind, Clear Sky (Gaifū kaisei), also known as Red Fuji, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1820","1842","Polychrome woodblock print; ink and color on paper","9 5/8 x 14 in. (24.4 x 35.6 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36490","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP10","False","True","36491","Asian Art","Woodblock print","冨嶽三十六景　神奈川沖浪裏|Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1820","1842","Polychrome woodblock print; ink and color on paper","9 5/8 x 14 1/16 in. (24.4 x 35.7 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36491","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP11","False","True","36492","Asian Art","Woodblock print","冨嶽三十六景　山下白雨|Storm below Mount Fuji (Sanka no haku u), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1820","1842","Polychrome woodblock print; ink and color on paper","10 1/8 x 15 1/8 in. (25.7 x 38.4 cm)","Rogers Fund, 1914","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/36492","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
